entry_key,Track ID,Track Title,Album Name,Popularity Rank,Duration (seconds),Artist ID,Duration (min:sec)
1,18228848,Somethin' 'Bout A Truck,Up All Night,326243,213,1436111,3:33
2,2958082621,Live Here To Work,Live Here To Work,501385,282,1436111,4:42
3,3123161771,Bad Spot,Bad Spot,480370,198,1436111,3:18
4,971478772,She's Mine,Wild World,397071,230,1436111,3:50
5,106262512,Running For You,Wild Ones (Deluxe),140961,212,1436111,3:32
6,13711280,The Diary Of Jane,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),718656,200,5286,3:20
7,3032469481,Awaken,Awaken,662274,218,5286,3:38
8,4638671,I Will Not Bow,Dear Agony,569484,216,5286,3:36
9,13711277,So Cold,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),552913,273,5286,4:33
10,13711281,Breath,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),571541,218,5286,3:38
11,610861462,Power Over Me,Dermot Kennedy,820471,206,12033224,3:26
12,1883582747,Kiss Me,Songs of Sonder,847662,229,12033224,3:49
13,1147866852,Power,Power,288748,192,12033224,3:12
14,1734687497,Something to Someone,Something to Someone,495201,198,12033224,3:18
15,1522755502,Better Days,Better Days,603262,198,12033224,3:18
16,1935291887,Just Pretend,THE DEATH OF PEACE OF MIND,687205,204,9700940,3:24
17,1935291847,THE DEATH OF PEACE OF MIND,THE DEATH OF PEACE OF MIND,682929,241,9700940,4:01
18,1935291867,Like A Villain,THE DEATH OF PEACE OF MIND,635377,210,9700940,3:30
19,2624513002,V.A.N,V.A.N,652441,274,9700940,4:34
20,1935291947,ARTIFICIAL SUICIDE,THE DEATH OF PEACE OF MIND,566864,195,9700940,3:15
21,3056512461,Hypercycle,Hypercycle,611687,346,7584298,5:46
22,3080531221,Behind Her Eyes,Circle In Time: Bonus Tracks,157087,330,7584298,5:30
23,2674691402,Murmur,"Endless, Dawn",335963,255,7584298,4:15
24,1724933977,In The Air (Radio Edit),In The Air,175471,233,7584298,3:53
25,3080531231,The Reef,Circle In Time: Bonus Tracks,141097,291,7584298,4:51
26,737967292,Cruel Summer,Lover,952951,178,12246,2:58
27,1976903157,Anti-Hero,Midnights,880722,200,12246,3:20
28,435491442,...Ready For It?,reputation,830063,208,12246,3:28
29,2757496031,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,860727,218,12246,3:38
30,561876462,Shake It Off,"Country Workout, Volume 2",479981,219,12246,3:39
31,351595631,There's Nothing Holdin' Me Back,Illuminate (Deluxe),955092,199,5962948,3:19
32,113418502,Never Be Alone,Handwritten (Revisited),601301,216,5962948,3:36
33,113418500,Stitches,Handwritten (Revisited),837872,207,5962948,3:27
34,351594981,Treat You Better,Illuminate,870400,189,5962948,3:09
35,3087379791,That’s The Dream,Shawn,615534,134,5962948,2:14
36,71645436,Dark Horse,PRISM (Deluxe),920856,215,144227,3:35
